word,status,calification,definition,length,language
AGITE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de agitar.,5,esp
AGITO,false,N/A,N/A,5,esp
AGNUS,false,N/A,N/A,5,esp
AGOLA,true,Forma verbal,Tercera persona del singular del presente de indicativo de agolar.,5,esp
AGOLE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de agolar.,5,esp
AGOLO,false,N/A,N/A,5,esp
AGORA,true,Sustantivo femenino,Historia: En Atenas antigua plaza del mercado para las actividades comerciales.,5,esp
AGORE,false,N/A,N/A,5,esp
AGORO,false,N/A,N/A,5,esp
AGOTA,true,Forma verbal,Tercera persona del singular del presente de indicativo de agotar.,5,esp
AGOTE,true,Adjetivo,"Persona originaria o habitante de un pueblo del valle de Baztán, en Navarra, España.",5,esp
AGOTO,false,N/A,N/A,5,esp
AGRAS,false,N/A,N/A,5,esp
AGRAZ,true,Adjetivo,Que no está maduro.,5,esp
AGRES,false,N/A,N/A,5,esp
AGRIA,true,Forma verbal,Tercera persona del singular del presente de indicativo de agriar.,5,esp
AGRIE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de agriar.,5,esp
AGRIO,true,Adjetivo,"Que tiene sabor u olor ácido, como el del limón o el vinagre, producido por la concentración de iones hidronios.",5,esp
AGROR,false,N/A,N/A,5,esp
AGROS,false,N/A,N/A,5,esp
AGUAD,false,N/A,N/A,5,esp
AGUAI,true,Sustantivo masculino,Árboles: (Pouteria salicifolia) Árbol de la familia de las sapotáceas.,5,esp
AGUAN,false,N/A,N/A,5,esp
AGUAR,true,Verbo transitivo,"Mezclar un líquido con agua, para reducir su intensidad o propiedades",5,esp
AGUAS,true,Forma sustantiva femenina,Forma del plural de agua.,5,esp
AGUAY,true,Sustantivo masculino,Árboles: (Pouteria salicifolia) Árbol de la familia de las sapotáceas.,5,esp
AGUCE,true,Forma verbal,Primera persona del singular del presente de subjuntivo de aguzar.,5,esp
AGUDA,false,N/A,N/A,5,esp
AGUDO,true,Adjetivo,"Que tiene punta, filo, corte, etcétera; sumamente fino y adelgazado, especialmente hablando de armas blancas, de instrumentos, etc.",5,esp
AGUEN,true,Forma verbal,Tercera persona del plural del presente de subjuntivo de aguar.,5,esp
AGUES,false,N/A,N/A,5,esp
AGUIN,false,N/A,N/A,5,esp
AGUIO,false,N/A,N/A,5,esp
AGUJA,true,Sustantivo femenino,"Barrita puntiaguda de metal, hueso o madera con un ojo por donde se pasa el hilo, cuerda, etc., con que se cose, borda o teje",5,esp
AGUTI,false,N/A,N/A,5,esp
AGUZA,true,Forma verbal,Tercera persona del singular del presente de indicativo de aguzar.,5,esp
AGUZO,false,N/A,N/A,5,esp
AHAJA,true,Forma verbal,Tercera persona del singular del presente de indicativo de ahajar.,5,esp
